video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,roi_motion,color_cv,motion_coherence,bg_motion_coherence,box_motion_coherence,motion_peak_bpm,bg_motion_peak_bpm,box_motion_peak_bpm,bg_motion_global_peak_bpm,box_motion_global_peak_bpm,artifact_100bpm,quality_score,artifact_state,keypoint_source,motion_aware_score,pet_state_keypoint_score
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,green,bg_motion_residual,2,123.047,170.0,180.0,175.0,51.953,46.953,False,43.832,0.016702,0.817164,0.004563,0.503383,0.0507,0.0,0.005963,0.218841,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,4.779702,stable_low_motion,face_box_pseudo_keypoint,4.993927,5.353927
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,chrom,raw,1,87.891,170.0,180.0,175.0,87.109,82.109,False,12.974,0.019554,0.900563,0.178191,0.034364,0.0507,0.0,0.005963,0.218841,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,3.876851,stable_low_motion,face_box_pseudo_keypoint,3.841076,4.201076
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,chrom,raw,2,97.559,170.0,180.0,175.0,77.441,72.441,False,9.501,0.01432,0.900563,0.016062,0.046924,0.0507,0.0,0.005963,0.218841,0.899,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,3.156468,100bpm_artifact,face_box_pseudo_keypoint,1.220693,0.730693
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,chrom,bg_motion_residual,1,96.24,170.0,180.0,175.0,78.76,73.76,False,61.987,0.033539,0.816455,0.008521,0.264282,0.0507,0.0,0.005963,0.218841,0.899,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,5.817006,100bpm_artifact,face_box_pseudo_keypoint,4.13123,3.64123
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,chrom,bg_motion_residual,2,103.711,170.0,180.0,175.0,71.289,66.289,False,24.916,0.013481,0.816455,0.041929,0.657493,0.0507,0.0,0.005963,0.218841,0.899,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,4.075592,100bpm_artifact,face_box_pseudo_keypoint,2.389817,1.899817
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,green,raw,1,107.227,170.0,180.0,175.0,67.773,62.773,False,65.675,0.029795,0.797156,0.0428,0.02698,0.0528,0.0,0.005759,0.183646,0.0,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,5.875383,stable_low_motion,face_box_pseudo_keypoint,5.84083,6.04083
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,green,raw,2,113.379,170.0,180.0,175.0,61.621,56.621,False,65.164,0.029564,0.797156,0.00947,0.027191,0.0528,0.0,0.005759,0.183646,0.917,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,5.635652,motion_locked_peak,face_box_pseudo_keypoint,4.36377,3.81377
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,green,bg_motion_residual,1,113.818,170.0,180.0,175.0,61.182,56.182,False,50.496,0.02385,0.836977,0.019184,0.051518,0.0528,0.0,0.005759,0.183646,0.917,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,5.407692,motion_locked_peak,face_box_pseudo_keypoint,4.38581,3.83581
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,green,bg_motion_residual,2,132.715,170.0,180.0,175.0,42.285,37.285,False,35.226,0.016638,0.836977,0.004017,0.073849,0.0528,0.0,0.005759,0.183646,0.0,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,4.607666,stable_low_motion,face_box_pseudo_keypoint,4.823113,5.023113
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,chrom,raw,1,99.316,170.0,180.0,175.0,75.684,70.684,False,21.19,0.021096,0.858666,0.070357,0.161344,0.0528,0.0,0.005759,0.183646,0.0,0.0,1.0,113.818,218.408,100.195,218.408,100.195,True,4.414961,100bpm_artifact,face_box_pseudo_keypoint,2.480408,1.830408
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,chrom,raw,2,112.939,170.0,180.0,175.0,62.061,57.061,False,18.66,0.018577,0.858666,0.017677,0.183222,0.0528,0.0,0.005759,0.183646,0.917,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,3.981573,motion_locked_peak,face_box_pseudo_keypoint,2.709691,2.159691
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,chrom,bg_motion_residual,1,94.482,170.0,180.0,175.0,80.518,75.518,False,24.0,0.020495,0.860121,0.005548,0.584281,0.0528,0.0,0.005759,0.183646,0.0,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,4.432658,stable_low_motion,face_box_pseudo_keypoint,4.648106,4.848106
1.mp4,0,0.0,19.933,mouth_proxy,Mouth proxy,keypoint,chrom,bg_motion_residual,2,114.697,170.0,180.0,175.0,60.303,55.303,False,17.094,0.014597,0.860121,0.025349,0.820332,0.0528,0.0,0.005759,0.183646,0.917,0.0,0.0,113.818,218.408,100.195,218.408,100.195,False,3.651972,motion_locked_peak,face_box_pseudo_keypoint,2.630089,2.080089
1.mp4,0,0.0,19.933,left_ear_base_proxy,Left ear base proxy,keypoint,green,raw,1,96.24,170.0,180.0,175.0,78.76,73.76,False,32.638,0.028843,0.858061,0.050967,0.073358,0.0602,0.0,0.00625,0.163031,0.0,0.0,1.0,217.969,218.408,100.195,218.408,100.195,True,5.058383,100bpm_artifact,face_box_pseudo_keypoint,3.120881,2.630881
1.mp4,0,0.0,19.933,left_ear_base_proxy,Left ear base proxy,keypoint,green,raw,2,114.258,170.0,180.0,175.0,60.742,55.742,False,20.134,0.017792,0.858061,0.03234,0.118918,0.0602,0.0,0.00625,0.163031,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,4.053882,stable_low_motion,face_box_pseudo_keypoint,4.01638,4.37638
1.mp4,0,0.0,19.933,left_ear_base_proxy,Left ear base proxy,keypoint,green,bg_motion_residual,1,91.846,170.0,180.0,175.0,83.154,78.154,False,30.326,0.029639,0.849291,0.030673,0.017599,0.0602,0.0,0.00625,0.163031,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,5.017798,stable_low_motion,face_box_pseudo_keypoint,5.230295,5.590295
1.mp4,0,0.0,19.933,left_ear_base_proxy,Left ear base proxy,keypoint,green,bg_motion_residual,2,114.697,170.0,180.0,175.0,60.303,55.303,False,24.006,0.023462,0.849291,0.041824,0.022232,0.0602,0.0,0.00625,0.163031,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,4.418602,stable_low_motion,face_box_pseudo_keypoint,4.6311,4.9911
1.mp4,0,0.0,19.933,left_ear_base_proxy,Left ear base proxy,keypoint,chrom,raw,1,106.787,170.0,180.0,175.0,68.213,63.213,False,17.868,0.016809,0.864469,0.045455,0.059915,0.0602,0.0,0.00625,0.163031,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,4.12942,stable_low_motion,face_box_pseudo_keypoint,4.091918,4.451918
