view,video,window_index,window_start_sec,window_end_sec,region_id,region_label,region_kind,method,peak_rank,peak_bpm,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,color_cv,quality_score,trained_selector_score
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pca,3,83.936,8.53,0.012156,0.904737,0.009347,0.228939,0.9163,0.0,0.060916,3.278696,0.02666666666666667
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pca,4,197.754,5.659,0.008064,0.904737,0.030189,0.54421,0.9163,0.0,0.060916,2.456157,0.10666666666666667
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,ica,1,94.922,22.257,0.027909,0.874202,0.038261,0.052565,0.9163,0.0,0.060916,5.187682,0.09333333333333334
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,ica,2,173.145,7.45,0.009342,0.874202,0.038906,0.02737,0.9163,0.0,0.060916,3.337312,0.11333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,ica,3,132.275,7.294,0.009146,0.874202,0.03974,0.160409,0.9163,0.0,0.060916,3.065308,0.14666666666666667
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,ica,4,107.666,7.244,0.009084,0.874202,0.046829,0.161499,0.9163,0.0,0.060916,2.837424,0.19333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,green,1,100.635,18.613,0.019388,0.882117,0.290338,0.044775,0.9168,0.0,0.415175,4.834585,0.006666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,green,2,199.072,13.067,0.01361,0.882117,0.007522,0.947545,0.9168,0.0,0.415175,3.860466,0.08
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,green,3,129.639,12.593,0.013117,0.882117,0.007805,0.066182,0.9168,0.0,0.415175,3.74524,0.19333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,green,4,84.814,12.057,0.012559,0.882117,0.072918,0.069123,0.9168,0.0,0.415175,3.474722,0.03333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,g_minus_r,1,118.652,11.045,0.016068,0.897232,0.043441,0.088093,0.9168,0.0,0.415175,4.144698,0.04666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,g_minus_r,2,100.635,10.488,0.015257,0.897232,0.282876,0.092773,0.9168,0.0,0.415175,3.895165,0.0
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,g_minus_r,3,129.639,8.814,0.012822,0.897232,0.011952,0.110396,0.9168,0.0,0.415175,3.366268,0.2
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,g_minus_r,4,123.926,5.977,0.008694,0.897232,0.017626,0.162802,0.9168,0.0,0.415175,2.610126,0.03333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,chrom,1,130.518,11.042,0.014666,0.904643,0.016541,0.292205,0.9168,0.0,0.415175,4.046063,0.24666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,chrom,2,119.092,9.712,0.0129,0.904643,0.036666,0.332214,0.9168,0.0,0.415175,3.636853,0.05333333333333334
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,chrom,3,94.482,9.166,0.012174,0.904643,0.050223,0.352022,0.9168,0.0,0.415175,3.333683,0.03333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,chrom,4,111.182,8.264,0.010977,0.904643,0.081634,0.390413,0.9168,0.0,0.415175,2.968327,0.06666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pos,1,94.482,9.043,0.013999,0.908473,0.053488,0.142199,0.9168,0.0,0.415175,3.861763,0.14
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pos,2,84.814,8.243,0.01276,0.908473,0.123373,0.156009,0.9168,0.0,0.415175,3.521038,0.04666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pos,3,173.145,6.077,0.009408,0.908473,0.02603,1.108279,0.9168,0.0,0.415175,2.694372,0.13333333333333333
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pos,4,145.898,5.783,0.008952,0.908473,0.027356,0.22237,0.9168,0.0,0.415175,2.56934,0.06666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pca,1,100.635,18.321,0.018993,0.883594,0.288934,0.053466,0.9168,0.0,0.415175,4.803642,0.0
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pca,2,129.639,13.172,0.013655,0.883594,0.00813,0.074369,0.9168,0.0,0.415175,4.02534,0.18666666666666668
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pca,3,199.072,12.873,0.013345,0.883594,0.008318,0.920736,0.9168,0.0,0.415175,3.619428,0.08666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,pca,4,84.814,11.805,0.012238,0.883594,0.083859,0.082979,0.9168,0.0,0.415175,3.439925,0.04
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,ica,1,130.078,11.575,0.017401,0.905533,0.016221,0.222753,0.9168,0.0,0.415175,4.192244,0.18666666666666668
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,ica,2,144.58,9.803,0.014739,0.905533,0.019151,0.262998,0.9168,0.0,0.415175,3.719236,0.04
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,ica,3,94.922,8.223,0.012362,0.905533,0.062641,0.313554,0.9168,0.0,0.415175,3.246939,0.04666666666666667
front,front.mp4,1,5.0,24.933,upper_face,Upper face,roi,ica,4,101.074,5.947,0.008941,0.905533,0.023816,0.433533,0.9168,0.0,0.415175,2.558889,0.006666666666666667
front,front.mp4,2,10.0,29.933,upper_face,Upper face,roi,green,1,101.074,18.082,0.014671,0.883516,0.069287,0.052815,0.9265,0.0,0.500886,4.61595,0.02
front,front.mp4,2,10.0,29.933,upper_face,Upper face,roi,green,2,115.576,9.467,0.007681,0.883516,0.007442,0.100873,0.9265,0.0,0.500886,3.46122,0.04
